"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_054371839.1",4.90991518724573,-5.45230981545417,4.41669360285883,-1.23447771245101,0.217024946724891,0.592129891090382
"XM_054371844.1",1.46642800259072,-3.71205283356025,4.43835030902992,-0.836358686246104,0.402953147118256,0.629842033456309
"NM_000230.3",26.8538278444906,-7.90386923472124,3.57369338639432,-2.21168085231169,0.0269887244395867,0.592129891090382
"XM_005250340.6",22.4380423188365,0.139638144344451,3.21737959820051,0.0434012027746279,0.965381718930835,0.99092091784435
"NM_001003680.3",11.1444269810841,7.29329897289464,4.33237001824439,1.68344322903659,0.0922893206932827,0.592129891090382
"NM_002303.6",11.299821001943,2.119599429175,3.64475975103583,0.58154709060662,0.560871790306634,0.782799477118612
"NM_001198689.2",6.97270974839039,1.28287003055851,3.23611415553563,0.396422984141044,0.69179301313157,0.885154408085953
"NM_001198688.1",4.18558642995932,2.70067130292151,4.07160690547028,0.663293722999906,0.507142455925288,0.728782492218563
"NM_005912.3",16.6874191344196,-1.82361941506556,2.78473998120114,-0.654861648619337,0.512556834352999,0.731147249003543
"XM_017010221.3",0.549910500971522,-2.30127660080295,4.489199009254,-0.512625213553491,0.608213512584047,0.825128821267867
"XM_047418132.1",5.8657120103629,-5.70991210695013,4.41517679517387,-1.29324653843794,0.195925804448986,0.592129891090382
"NM_001346543.2",5.6,-5.64179188645805,4.41555199026514,-1.2777093099337,0.201351941359721,0.592129891090382
"NM_138409.4",12.9558535431769,6.52691882247352,3.51758047923032,1.85551371489919,0.0635229025673469,0.592129891090382
"XM_047418133.1",5.93394382597715,2.02420541223972,4.07671013702052,0.496529148309553,0.619521127467325,0.828876542956284
"XM_054354133.1",8.64145072955248,-6.26798219840756,4.41268664916978,-1.42044579566665,0.155477938410426,0.592129891090382
"NR_045259.2",4.4,-5.29373761913139,4.41777096431272,-1.19828249628485,0.230807058505632,0.592129891090382
"XM_006717525.3",10.3207253647762,1.05913403216924,4.11391039272513,0.257451896386021,0.796829945072148,0.922085539426491
"XM_047425978.1",5.91445099758078,1.33870742555251,4.08784596233891,0.327484801992527,0.743301236066247,0.885154408085953
"XM_054367078.1",2.30863761197682,-0.264377667900824,3.78447446651887,-0.0698584890028365,0.944306293346729,0.988028457888941
"XR_923057.4",6.53285600518145,-5.86466749236847,4.0890490420551,-1.43423750413641,0.151504497880398,0.592129891090382
"NM_201266.2",4.12756554854966,5.86022753659041,4.33981023036206,1.35034188720771,0.176906342165202,0.592129891090382
"NM_201279.2",5,2.25065486485409,4.07217394379674,0.552691239597605,0.5804748530889,0.80437229642319
"XM_047446172.1",1.57117285991863,-3.80792891536253,4.4363675049904,-0.858343884062593,0.390702604049678,0.623099488688274
"XM_047446171.1",2.88929588398476,5.34557047159056,4.34486804933613,1.2303182538322,0.218577951397645,0.592129891090382
"XM_047446173.1",0.733214001295362,-2.71467700060535,4.46896300343029,-0.607451213742788,0.543551509787382,0.76412313694748
"XM_017005188.3",1.4,-0.732061433725034,4.32540087963256,-0.169247071912378,0.865602305772736,0.955487400077163
"NM_201267.2",2.35675928987795,-4.39315113260085,4.42673266841343,-0.992413922789556,0.320995649995449,0.597874278719782
"XM_047446174.1",5.08276650615297,-5.50298048792462,4.10848846404959,-1.33941729083025,0.180434863542029,0.592129891090382
"XM_047446175.1",2.55315589736778,-4.50866824388121,4.42524881035525,-1.01885078943601,0.308273809279013,0.592129891090382
"XM_047446176.1",5.46378277427483,6.26512937498349,3.87848465725311,1.61535494623322,0.106233850990915,0.592129891090382
"XM_017014751.3",2.93285600518145,-4.71064850524437,4.42292235541249,-1.06505340286605,0.286851764105377,0.592129891090382
"XM_017014753.3",0.2,1.50933716146866,4.56083217121439,0.330934598075066,0.740693887539829,0.885154408085953
"XM_005252001.4",12.8836174513328,-6.84437055637902,4.08435105918065,-1.67575471775241,0.0937862471103102,0.592129891090382
"NM_001369533.1",7.2,-6.00446622607224,4.41374341416041,-1.36040219438411,0.173702684455537,0.592129891090382
"XM_017014760.3",2,4.81562705239985,4.35233968089928,1.10644559144447,0.268533701381755,0.592129891090382
"NM_001369542.1",2.93285600518145,-4.71064850524437,4.42292235541249,-1.06505340286605,0.286851764105377,0.592129891090382
"NM_001007097.3",0.196396607489829,-0.888480170714954,4.56209215174643,-0.194752789106821,0.845586483328979,0.953712031210506
"NM_001369541.1",1.8,-4.00334300983871,4.43270975982594,-0.903136732777179,0.366453330793278,0.618041650149182
"NM_001369538.1",0.206378277427483,1.53216438190491,4.55905517445417,0.336070594295527,0.736817632428091,0.885154408085953
"NM_001369535.1",1.2382696645649,4.12279466313879,4.36728372910272,0.944018048487508,0.345160425334661,0.597874278719782
"XM_054363024.1",0.2,1.50933716146866,4.56083217121439,0.330934598075066,0.740693887539829,0.885154408085953
"NM_000439.5",22.4773731330732,-7.64727284133142,3.56003946079484,-2.14808653823855,0.0317068814342735,0.592129891090382
